"string","factor_number"
"acura",0
"audi",1
"bmw",2
"buick",3
"cadillac",4
"chevrolet",5
"dodge",6
"ford",7
"gmc",8
"honda",9
"hyundai",10
"infiniti",11
"jaguar",12
"jeep",13
"kia",14
"landrover",15
"lexus",16
"lincoln",17
"mazda",18
"mercedes-benz",19
"mitsubishi",20
"nissan",21
"other",22
"porsche",23
"subaru",24
"toyota",25
"volkswagen",26
"volvo",27
