epoch,total,recon,perceptual,kl,cls,sales_reg,disc,tc,mi,dkld,year_cls,make_cls,body_cls,door_cls,sales_yr1,sales_yr2,gan
0,31.317098667968214,21.921024901899077,3.7876636653088265,0.0,2.40506011704516,0.7024287165261576,0.5091122176225342,0.4292123593685385,0.17507014301904997,0.5262946268246356,0.8677433164109218,0.9591101239956422,0.45972798874987375,0.11847868191184968,0.8752839697549522,0.5295734606387856,2.5009211298127507
1,10.888696973019234,5.420289993171256,2.1788332972363755,0.0,1.999058510973592,0.2796697277854718,1.4254094688509005,0.8726877683059758,0.1841801138806448,0.057323827606066774,0.7740473692637702,0.8721312038173764,0.28383927531704495,0.06904066654849413,0.2671558319668938,0.2921836220121856,1.010845347858211
2,7.9614445406959975,3.222552488151823,1.940487520153827,0.0,1.7940372891363057,0.2619475034857374,1.4815743597068451,6.793925825614766,0.1841910312249269,0.017994890876131448,0.7061775504755036,0.805856912934308,0.22991229574060637,0.05209052976434187,0.24710107323947458,0.27679393486435716,0.7424196412384769
3,7.42149416360561,2.8602737955962376,1.8607939572980225,0.0,1.6875530527551785,0.2555282891518744,1.4803461403573661,15.012736504508522,0.18418711817737304,0.020966103577466776,0.6782357243189208,0.7563698763364217,0.20856925193958853,0.044378206538372864,0.2388255004053074,0.2722310791456752,0.7573450049902372
4,7.096069602714236,2.6737371283185376,1.7938760182274596,0.0,1.6155929888922744,0.25239548054298117,1.4982748324387924,20.719303282347024,0.18417832046878602,0.023016764808688386,0.657143510700848,0.7176578119987965,0.19888134835049964,0.04191031403396491,0.23607361648182512,0.26871734540827474,0.7604679002635802
5,6.863493088583589,2.549369009683475,1.7341998314673681,0.0,1.5698703736460695,0.24760878187838106,1.4869354501169683,24.902189928634574,0.1841830764047911,0.024632539003346998,0.6461343454369369,0.6866712003027287,0.19583253825682378,0.041232290511154936,0.23099668266555287,0.26422088127172993,0.7624450330692247
6,6.764294637982541,2.4761059490701243,1.6956563907704165,0.0213392068106796,1.5395273426030704,0.24474968121177826,1.4878812476926964,1.828160077989888,0.18418370171265427,0.014880768150295981,0.6414659205512323,0.6643047895463022,0.1936663217022029,0.04009031379423086,0.22570909505570513,0.2637902679422353,0.7869159852093007
7,6.593656842404,2.4075987046207032,1.6557645423559366,0.016641878028552045,1.513928000727415,0.23878206169880958,1.440133901157043,0.5915829613345307,0.18417244764151527,0.01473375437463433,0.6367205382443738,0.6449881563102621,0.19245321331176468,0.0397660938776734,0.21853131146092247,0.2590328119366967,0.7609415994341678
8,6.485145768405057,2.3416778804028677,1.6220102915417256,0.02318890087536253,1.4916642158567117,0.235434710240968,1.444546286361333,0.5350474312441988,0.18418222502989895,0.015085544390573401,0.6339768273189726,0.6271788978366596,0.191570683972426,0.038937809830326325,0.21358790631008043,0.2572815135646497,0.7711697122599056
9,6.386241006431075,2.2924690489915696,1.589275940858845,0.030038689911398332,1.470163574512833,0.23046880003704898,1.4330261945724487,0.5136979665000009,0.18419640986404737,0.015524472096985143,0.6315750243117634,0.6105239667293785,0.18993630747963133,0.03812827297162245,0.20866605288262935,0.25227154663349566,0.773824898524431
